Altersgruppe, Meldedatum, value, difference, trend
>=80, 2021-02-23, 74.6, -11.7542, -0.1581
>=80, 2021-02-24, 72.6, -11.9397, -0.1606
>=80, 2021-02-25, 69.9, -12.1589, -0.1636
>=80, 2021-02-26, 68.6, -10.7761, -0.145
>=80, 2021-02-27, 66.9, -10.1521, -0.1366
>=80, 2021-02-28, 64.9, -12.0746, -0.1624
>=80, 2021-03-01, 64.2, -10.8772, -0.1463
>=80, 2021-03-02, 63.2, -10.2196, -0.1375
>=80, 2021-03-03, 61.2, -10.1858, -0.137
>=80, 2021-03-04, 58, -10.9953, -0.1479
>=80, 2021-03-05, 56.3, -12.0577, -0.1622
>=80, 2021-03-06, 54.1, -12.4793, -0.1679
>=80, 2021-03-07, 52.8, -12.2938, -0.1654
>=80, 2021-03-08, 52.7, -11.9565, -0.1608
>=80, 2021-03-09, 51.4, -12.3613, -0.1663
>=80, 2021-03-10, 50.1, -11.3157, -0.1522
>=80, 2021-03-11, 50.4, -8.5163, -0.1146
>=80, 2021-03-12, 51.4, -6.1216, -0.0824
>=80, 2021-03-13, 52.2, -2.5633, -0.0345
>=80, 2021-03-14, 53.9, -0.0675, -0.0009
>=80, 2021-03-15, 53.7, 0.5902, 0.0091
>=80, 2021-03-16, 54.5, 2.9175, 0.045
>=80, 2021-03-17, 56.7, 6.1553, 0.0949
>=80, 2021-03-18, 57.3, 7.2852, 0.1123
>=80, 2021-03-19, 57.3, 6.2903, 0.0969
>=80, 2021-03-20, 58.8, 6.2565, 0.0964
>=80, 2021-03-21, 58.6, 5.7506, 0.0886
>=80, 2021-03-22, 59.7, 6.1553, 0.0949
>=80, 2021-03-23, 60.6, 6.1891, 0.0954
>=80, 2021-03-24, 61.3, 3.9968, 0.0616
>=80, 2021-03-25, 63.4, 5.3796, 0.0829
>=80, 2021-03-26, 65.2, 6.8299, 0.1052
>=80, 2021-03-27, 66.4, 7.2684, 0.112
>=80, 2021-03-28, 67.9, 8.3645, 0.1289
>=80, 2021-03-29, 68.3, 8.179, 0.126
>=80, 2021-03-30, 69, 7.9598, 0.1227
>=80, 2021-03-31, 68.6, 7.3695, 0.1136
>=80, 2021-04-01, 69.2, 5.8181, 0.0897
>=80, 2021-04-02, 68.6, 3.6595, 0.0564
>=80, 2021-04-03, 65.8, 0.3541, 0.0055
>=80, 2021-04-04, 63.1, -3.5246, -0.0474
>=80, 2021-04-05, 62.5, -4.7388, -0.0637
>=80, 2021-04-06, 59.8, -7.7406, -0.1041
>=80, 2021-04-07, 56.8, -9.8823, -0.1329
>=80, 2021-04-08, 54.9, -13.6092, -0.1831
>=80, 2021-04-09, 56.9, -11.7204, -0.1577
>=80, 2021-04-10, 60.1, -6.0036, -0.0808
>=80, 2021-04-11, 62.5, -1.855, -0.025
>=80, 2021-04-12, 63.2, 0.9781, 0.0151
>=80, 2021-04-13, 65.6, 5.5145, 0.085
>=80, 2021-04-14, 70, 11.7036, 0.1804
>=80, 2021-04-15, 71.8, 17.2181, 0.2653
>=80, 2021-04-16, 71.2, 14.9752, 0.2308
>=80, 2021-04-17, 71, 10.911, 0.1681
>=80, 2021-04-18, 70.7, 9.4607, 0.1458
>=80, 2021-04-19, 71, 7.184, 0.1107
>=80, 2021-04-20, 71.9, 5.1098, 0.0787
>=80, 2021-04-21, 70.9, 1.5852, 0.0244
>=80, 2021-04-22, 70.7, -1.5009, -0.0202
>=80, 2021-04-23, 69.5, -0.7251, -0.0098
>=80, 2021-04-24, 68.2, -2.5127, -0.0338
>=80, 2021-04-25, 68.1, -2.3104, -0.0311
>=80, 2021-04-26, 67.4, -2.9343, -0.0395
>=80, 2021-04-27, 66.2, -4.216, -0.0567
>=80, 2021-04-28, 63.6, -6.1553, -0.0828
>=80, 2021-04-29, 60.9, -9.0728, -0.1221
>=80, 2021-04-30, 58.8, -10.169, -0.1368
>=80, 2021-05-01, 57.2, -9.9497, -0.1338
>=80, 2021-05-02, 55.3, -12.277, -0.1652
